,0,1,2,3,4,5,6,7,8,9,10
29,6.4325624,45.113804,10.772362,2.1970024,6.218604,2.9081917,5.571171,12.092459,8.765004,13.173291,17.465136
30,6.5912867,40.029465,10.609897,2.091724,6.497436,3.148188,4.935329,11.405906,9.843464,12.192714,17.008268
31,4.4562497,22.19949,2.7626991,1.041871,4.099623,2.020083,3.0142,8.000769,8.643895,9.734092,15.31336
32,5.38028,39.243767,13.199632,1.7974607,5.283343,2.9409738,4.3088055,13.789367,12.849389,12.687074,16.52292
33,6.812,48.81178,13.225612,2.0589707,7.1698747,3.2142785,4.814511,12.900798,11.773827,13.760774,19.053253
34,6.268796,45.585163,5.6161532,2.2109692,5.4549427,2.9817061,4.6087775,13.006449,11.674187,13.424221,19.43018
35,5.3144436,43.176792,8.975829,2.0894215,6.517057,3.7400553,4.737348,13.2820635,10.668997,13.747062,18.764011
36,4.8845396,22.67645,4.304248,1.6827263,3.6550796,1.9148127,3.6069293,7.1636295,8.266474,10.828851,14.271797
37,5.431831,39.908825,7.1364217,1.6640489,6.5503283,3.533273,3.9830825,13.045604,14.036734,13.2068,18.736162
38,5.8789015,42.279602,6.3743434,2.118437,5.8048873,3.2220583,4.5324416,13.083191,10.560836,12.635623,19.79644
39,5.5698843,39.05852,6.530489,1.5924566,6.3807726,3.2777474,4.20496,12.708034,13.570935,12.592269,17.96892
40,3.8377914,19.823984,3.2546175,1.4117787,3.2381978,2.2514362,3.536216,6.689698,7.6728897,9.834591,12.88401
41,4.527858,26.152935,5.823562,1.6055963,3.9377131,2.2097003,3.4334521,8.274603,9.551378,10.807103,15.327973
42,5.7914944,41.38278,6.1460304,1.786211,5.8754954,2.9956214,5.405574,12.965606,10.283765,13.487963,18.827393
43,4.235404,24.32918,2.4427257,1.8448397,4.4715233,2.3117776,3.6286755,8.322762,9.07056,10.679574,14.66069
44,4.3602185,23.404333,2.274342,1.2878572,4.2291045,2.3156338,3.4585183,8.42561,9.514339,10.490945,15.704037
45,6.19231,35.282894,10.208812,1.9156829,6.4548144,3.0600986,3.8490126,12.587521,12.962299,12.98235,18.424059
46,5.487219,37.937614,4.232165,1.8870701,6.4611115,3.6953905,4.592022,12.300281,13.176591,13.71777,18.591812
47,5.352079,37.257122,9.21632,1.8250511,6.7573123,3.902746,3.9709568,11.633097,14.240693,12.367328,18.162989
48,5.3693757,44.301624,4.9983892,2.36218,5.1125407,3.0236275,5.6819844,12.488196,11.237999,14.030605,18.038158
49,5.7288246,40.231606,6.964445,1.8888934,5.3357487,2.9034243,4.220007,10.52745,10.925806,12.613517,16.48552
50,6.192495,42.926266,6.2199187,1.9587281,5.461818,3.3009486,4.639338,12.622079,9.67766,12.92919,19.408918
51,5.9539084,39.38698,7.9109964,2.2385929,5.5180187,2.9335892,4.521774,12.278561,11.795064,12.199991,17.300968
52,7.085323,46.04711,13.067521,1.9285108,7.207783,3.2284024,4.9698887,11.892002,9.875673,13.151349,17.812943
53,7.0753956,49.75276,11.294542,2.3075337,6.96657,2.6848345,4.798282,11.738469,9.029523,14.175286,18.537888
54,6.436377,46.88865,13.917187,1.6879864,6.3170247,3.4764047,4.6684523,11.293665,9.615426,13.798959,17.89746
55,6.888161,40.654346,7.8222194,2.2368743,6.2247334,3.4827037,4.353697,12.296786,12.345552,13.473528,20.940567
56,7.6551743,51.805008,17.099035,1.965882,7.086762,3.1333132,5.4780746,11.800269,8.27651,14.426989,18.206694
57,5.5007844,38.753574,9.369529,1.6319197,5.6514544,3.7665384,3.7447977,11.919033,12.195962,13.238278,18.2919
58,4.7412276,21.911936,4.7704887,1.3901551,3.5148604,2.1796532,4.058466,6.9019885,8.599052,10.670564,14.429989
59,6.2616167,48.635593,11.272076,2.0030718,6.835378,3.492902,5.0036664,13.181074,11.540062,13.662417,18.453756
60,5.312253,24.960814,5.043118,1.3162223,3.6651454,2.4123106,2.9124627,8.256462,9.494138,11.265883,15.297165
61,5.994353,44.68305,7.5444946,2.3772888,6.1267366,3.264845,4.8400664,13.507537,10.411913,13.692091,18.585325
62,5.132987,42.673996,7.7511,1.9050541,6.3486414,3.1130395,4.365233,13.395315,12.893238,12.580144,17.582205
63,5.524559,40.606403,5.4367337,2.0039244,5.586511,3.1981938,5.0451903,13.208583,11.3495035,14.129182,18.350674
64,6.8102374,43.50678,5.4529138,1.4554118,6.3525534,2.8418314,4.3851905,12.4684105,11.381045,13.32953,20.475624
65,6.612238,45.623104,11.209923,2.2006917,6.5700912,3.2078226,5.789332,11.898255,9.950073,13.397356,18.45068
66,5.8618107,41.79546,4.172753,2.12493,6.274523,3.4024868,4.9363837,12.619958,11.525813,13.006364,18.163122
67,4.86521,24.748985,2.6544676,1.9459847,4.267219,2.549251,3.9110641,7.9132576,9.714083,10.759236,14.544936
68,6.2113376,35.85482,9.553534,2.4698272,6.1267505,3.4515886,5.0353823,11.780023,9.690646,12.794485,16.51452
69,6.602691,41.118153,5.311695,1.7380197,6.388329,3.0517974,4.8469505,11.428248,10.146457,13.115895,19.87274
70,5.783743,45.312057,9.932695,2.0180447,6.3292804,3.4113286,4.747343,12.36828,10.280134,13.990057,19.385366
71,4.0077333,20.116201,3.8165681,1.3134507,3.3610978,1.9235245,2.9703326,7.4661736,8.560327,9.741702,13.355498
72,4.7138047,30.948498,3.8804078,1.5661608,4.8847513,2.9892817,3.8596463,9.798237,12.726515,12.454478,18.395939
73,5.0117974,22.186491,2.3857317,1.6629783,3.9644248,2.5642016,4.1144557,6.954055,10.210453,11.164772,15.51761
74,6.594338,39.606834,3.7429116,1.6424583,5.8941393,3.2669945,5.543824,12.8038435,10.894548,13.026645,18.787912
75,6.449828,45.77929,10.308907,2.0550153,7.2138257,3.076865,4.5247345,13.569861,11.515336,13.153689,20.06868
76,4.330086,22.267532,3.1779778,1.3260056,3.41903,1.8412807,2.9291854,7.1049347,9.631246,10.00575,13.211544
77,5.3963957,37.246094,6.437842,1.815742,5.4167624,3.7656288,3.7728362,12.730338,12.339279,12.825397,18.185625
78,7.1927805,49.278454,12.831749,2.0107405,7.073543,3.257256,5.3060875,10.98041,8.839265,13.648458,17.74018
