,0,1,2,3,4,5,6
31,15.206909,816.1059,564.7782,4.2560606,0.04739057,0.03328434,7.362345
32,0.5944049,1.2772661,5.1141853,0.2762756,0.4414387,0.28698972,3.5131974
33,5.706368,23.674212,0.8754112,0.28637925,0.2289948,0.14776564,4.219811
34,8.291245,88.36277,10.949621,1.1540186,0.20866945,0.24171706,5.4697185
35,3.4285936,5.1217556,1.51611,0.24360727,0.36299723,0.33521333,4.092654
36,16.131237,839.1231,608.92786,4.0445237,0.07922782,0.036775194,7.3711963
37,10.801598,214.62987,8.57522,1.66102,0.17296958,0.06100479,5.926164
38,6.2729197,50.153126,5.983656,0.43390504,0.21349883,0.19424714,5.0931163
39,10.565728,195.74248,13.270391,1.6064259,0.17085321,0.046387166,5.7102733
40,15.000247,916.94977,1162.4229,4.577822,0.09949297,0.015398397,7.7439294
41,16.094143,790.1646,468.1152,4.4152794,0.039938904,0.03075423,7.5061965
42,5.653343,29.96326,1.6362342,0.2992617,0.41924882,0.12673698,4.297814
43,15.822253,771.92236,491.4882,4.2817683,0.09453423,0.014427965,7.3277583
44,14.63843,709.56866,478.65518,3.9516416,0.08886778,0.012000821,7.2206955
45,9.716388,163.37009,5.269646,1.0693383,0.26766357,0.09719998,6.475687
46,9.41635,136.85248,4.2633753,1.0221852,0.3059918,0.1714442,5.018772
47,9.976301,174.56645,7.01918,1.0467017,0.24198285,0.09484367,6.4316707
48,6.240024,43.370625,10.448544,0.6826684,0.1970833,0.14518106,3.8775384
49,0.19556886,1.0631927,1.0919698,0.02163262,0.5571061,0.39506608,0.52826023
50,2.6064477,3.7066326,2.7416725,0.119665295,0.3019436,0.3562794,2.905753
51,0.2575324,0.8442595,0.72862893,0.0749132,0.7082873,0.42108622,2.034113
52,0.5320579,0.011586656,0.43771458,0.07501156,0.6382588,0.44873965,0.70248574
53,1.3073475,0.110772304,0.29994485,0.04916912,0.5360357,0.50435454,1.6721482
54,0.64775145,0.11413696,0.59086615,0.02554749,0.6190453,0.6513139,1.1580545
55,7.328752,93.557945,3.1677105,0.80173725,0.2731704,0.16874942,5.3961234
56,0.28696096,0.05542884,0.32858458,0.07358539,0.59643173,0.77239263,0.63773257
57,12.968569,314.4354,32.763462,2.0514848,0.07134011,0.05725523,6.662701
58,15.987625,846.5749,750.412,4.215783,0.0706959,0.0075085843,8.088963
59,3.8120508,3.690113,1.0984645,0.124846295,0.2598948,0.3311278,3.9514608
60,16.307962,709.6117,317.0718,4.0227194,0.123019956,0.026889406,7.741095
61,4.299855,13.559291,1.1213642,0.37986466,0.3421587,0.2281703,3.6523585
62,0.46431953,0.082322314,1.7268935,0.10128553,0.6347766,0.63651264,1.7977896
63,4.9165926,22.623661,9.780876,0.38189572,0.3069136,0.20345525,3.9973385
64,6.88001,55.540993,1.5019432,0.353437,0.22777596,0.24110895,4.883128
65,1.883052,0.344131,0.39145955,0.09606827,0.40830475,0.41365165,2.4652586
66,6.0122066,40.16982,2.4619117,0.5252176,0.22754742,0.17730185,4.1138663
